input_file,input_bytes,encoded_bytes,mutated_bytes,decoded_bytes,mutation_spec,total_units,affected_units,measured_rate,seed,encode_time_sec,mutate_time_sec,decode_time_sec,encode_exit,mutate_exit,decode_exit,bit_perfect
"teste02.txt",31,1060,1060,0,0.02,,,,"23456",0.022000,0.021000,0.021000,0,0,1,0
"teste02.txt",31,1060,1060,0,0.02,,,,"34567",0.021000,0.021000,0.020000,0,0,1,0
"teste02.txt",31,1060,1060,0,0.03,,,,"12345",0.021000,0.026000,0.040000,0,0,1,0
"teste02.txt",31,1060,1060,0,0.03,,,,"23456",0.025000,0.023000,0.019000,0,0,1,0
"teste02.txt",31,1060,1060,0,0.03,,,,"34567",0.020000,0.020000,0.023000,0,0,1,0
"teste02.txt",31,1060,1060,0,0.04,,,,"12345",0.020000,0.020000,0.023000,0,0,1,0
"teste02.txt",31,1060,1060,0,0.04,,,,"23456",0.022000,0.021000,0.020000,0,0,1,0
"teste02.txt",31,1060,1060,0,0.04,,,,"34567",0.021000,0.021000,0.027000,0,0,1,0
"teste.txt",124,1060,1060,124,0.0,,,,"12345",0.020000,0.021000,0.020000,0,0,0,1
"teste.txt",124,1060,1060,124,0.0,,,,"23456",0.021000,0.025000,0.022000,0,0,0,1
"teste.txt",124,1060,1060,124,0.0,,,,"34567",0.021000,0.021000,0.030000,0,0,0,1
"teste.txt",124,1060,1060,124,0.005,,,,"12345",0.021000,0.020000,0.021000,0,0,0,1
"teste.txt",124,1060,1060,124,0.005,,,,"23456",0.021000,0.020000,0.021000,0,0,0,1
"teste.txt",124,1060,1060,124,0.005,,,,"34567",0.030000,0.020000,0.022000,0,0,0,1
"teste.txt",124,1060,1060,124,0.01,,,,"12345",0.021000,0.021000,0.021000,0,0,0,1
"teste.txt",124,1060,1060,124,0.01,,,,"23456",0.027000,0.026000,0.021000,0,0,0,1
"teste.txt",124,1060,1060,124,0.01,,,,"34567",0.020000,0.021000,0.022000,0,0,0,1
"teste.txt",124,1060,1060,0,0.02,,,,"12345",0.027000,0.022000,0.021000,0,0,1,0
"teste.txt",124,1060,1060,0,0.02,,,,"23456",0.021000,0.020000,0.031000,0,0,1,0
"teste.txt",124,1060,1060,0,0.02,,,,"34567",0.021000,0.020000,0.023000,0,0,1,0
"teste.txt",124,1060,1060,0,0.03,,,,"12345",0.028000,0.020000,0.022000,0,0,1,0
"teste.txt",124,1060,1060,0,0.03,,,,"23456",0.021000,0.024000,0.021000,0,0,1,0
"teste.txt",124,1060,1060,0,0.03,,,,"34567",0.022000,0.028000,0.021000,0,0,1,0
"teste.txt",124,1060,1060,0,0.04,,,,"12345",0.022000,0.031000,0.022000,0,0,1,0
"teste.txt",124,1060,1060,0,0.04,,,,"23456",0.030000,0.022000,0.021000,0,0,1,0
"teste.txt",124,1060,1060,0,0.04,,,,"34567",0.021000,0.020000,0.035000,0,0,1,0
"teste.jpg",201059,920080,920080,201059,0.0,,,,"12345",0.059000,0.091000,0.084000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.0,,,,"23456",0.048000,0.094000,0.064000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.0,,,,"34567",0.055000,0.090000,0.062000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.0001,,,,"12345",0.045000,0.098000,0.070000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.0001,,,,"23456",0.050000,0.100000,0.063000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.0001,,,,"34567",0.045000,0.096000,0.073000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.0002,,,,"12345",0.051000,0.094000,0.083000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.0002,,,,"23456",0.044000,0.087000,0.067000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.0002,,,,"34567",0.047000,0.094000,0.073000,0,0,0,1
